ListName,InternalName,DisplayName,TypeAsString,Hidden,ReadOnly,FromBaseType,Indexed,Classification,Reason,RecommendedAction
SupportRecord_Daily,ContentTypeId,コンテンツ タイプの ID,ContentTypeId,true,true,true,false,keep_system,"Hidden=true, ReadOnly=true, FromBaseType=true",KEEP
SupportRecord_Daily,Title,タイトル,Text,false,false,true,false,keep_system,FromBaseType=true,KEEP
SupportRecord_Daily,_ModerationComments,承認者のコメント,Note,true,true,true,false,keep_system,"Hidden=true, ReadOnly=true, FromBaseType=true",KEEP
SupportRecord_Daily,File_x0020_Type,ファイルの種類,Text,true,true,true,false,keep_system,"Hidden=true, ReadOnly=true, FromBaseType=true",KEEP
SupportRecord_Daily,_ColorHex,色,Text,true,true,true,false,keep_system,"Hidden=true, ReadOnly=true, FromBaseType=true",KEEP
SupportRecord_Daily,_ColorTag,色タグ,Text,false,true,true,false,keep_system,"ReadOnly=true, FromBaseType=true",KEEP
SupportRecord_Daily,_Emoji,絵文字,Text,true,true,true,false,keep_system,"Hidden=true, ReadOnly=true, FromBaseType=true",KEEP
SupportRecord_Daily,ComplianceAssetId,コンプライアンス資産 ID,Text,false,true,true,false,keep_system,"ReadOnly=true, FromBaseType=true",KEEP
SupportRecord_Daily,cr013_recorddate,記録日,DateTime,false,false,false,true,legacy_unknown,"Not in SSOT, not system, no drift pattern detected — requires manual review",MANUAL_REVIEW
SupportRecord_Daily,cr013_specialnote,特記事項,Note,false,false,false,false,legacy_unknown,"Not in SSOT, not system, no drift pattern detected — requires manual review",MANUAL_REVIEW
SupportRecord_Daily,_x8a18__x9332__x65e5_,記録日,DateTime,false,false,false,false,drift_encoded,UCS-2 encoded name (_xNNNN_) — typically Japanese display-name auto-encoded,DELETE (auto-detected zombie)
SupportRecord_Daily,_x7279__x8a18__x4e8b__x9805_,特記事項,Note,false,false,false,false,drift_encoded,UCS-2 encoded name (_xNNNN_) — typically Japanese display-name auto-encoded,DELETE (auto-detected zombie)
SupportRecord_Daily,cr013_amactivity,AM活動,Text,false,false,false,true,legacy_unknown,"Not in SSOT, not system, no drift pattern detected — requires manual review",MANUAL_REVIEW
SupportRecord_Daily,cr013_pmactivity,PM活動,Text,false,false,false,false,legacy_unknown,"Not in SSOT, not system, no drift pattern detected — requires manual review",MANUAL_REVIEW
SupportRecord_Daily,cr013_lunchamount,昼食量,Choice,false,false,false,false,legacy_unknown,"Not in SSOT, not system, no drift pattern detected — requires manual review",MANUAL_REVIEW
SupportRecord_Daily,cr013_behaviorcheck,問題行動チェック,MultiChoice,false,false,false,false,legacy_unknown,"Not in SSOT, not system, no drift pattern detected — requires manual review",MANUAL_REVIEW
SupportRecord_Daily,UserId,UserId,Text,false,false,false,true,legacy_unknown,"Not in SSOT, not system, no drift pattern detected — requires manual review",MANUAL_REVIEW
SupportRecord_Daily,Completed,Completed,Boolean,false,false,false,true,legacy_unknown,"Not in SSOT, not system, no drift pattern detected — requires manual review",MANUAL_REVIEW
SupportRecord_Daily,Incident,Incident,Boolean,false,false,false,false,legacy_unknown,"Not in SSOT, not system, no drift pattern detected — requires manual review",MANUAL_REVIEW
SupportRecord_Daily,IsDeleted,IsDeleted,Boolean,false,false,false,false,legacy_unknown,"Not in SSOT, not system, no drift pattern detected — requires manual review",MANUAL_REVIEW
SupportRecord_Daily,DeletedAt,DeletedAt,Text,false,false,false,false,legacy_unknown,"Not in SSOT, not system, no drift pattern detected — requires manual review",MANUAL_REVIEW
