listKey,listTitle,expectedField,actualField,driftType,severity,requirement,judgement,notes,evidenceSource
activity_diary,ActivityDiary,Category,Category,match,ok,essential,no-action,,live-probe
activity_diary,ActivityDiary,Date,Date,match,ok,essential,no-action,,live-probe
activity_diary,ActivityDiary,Shift,Shift,match,ok,essential,no-action,,live-probe
activity_diary,ActivityDiary,UserID,UserID,match,ok,essential,no-action,,live-probe
activity_diary,ActivityDiary,Goals,Goals_x0020_JSON,fuzzy_match,info,optional,rename-migrate,_xNNNN_ encoding (SharePoint space/special-char transform).,live-probe
activity_diary,ActivityDiary,LunchAmount,LunchAmount,match,ok,optional,no-action,,live-probe
activity_diary,ActivityDiary,Notes,Notes,match,ok,optional,no-action,,live-probe
activity_diary,ActivityDiary,ProblemBehavior,ProblemBehavior,match,ok,optional,no-action,,live-probe
activity_diary,ActivityDiary,Seizure,Seizure,match,ok,optional,no-action,,live-probe
activity_diary,ActivityDiary,,_ColorHex,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_CommentFlags,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_DraftOwnerId,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_EditMenuTableEnd,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_EditMenuTableStart,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_EditMenuTableStart2,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_Emoji,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_IsCurrentVersion,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_Level,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_ModerationComments,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_ModerationStatus,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_RansomwareAnomalyMetaInfo,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_UIVersion,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_VirusInfo,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_VirusStatus,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,_VirusVendorID,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,AccessPolicy,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,BaseName,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,ContentVersion,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
activity_diary,ActivityDiary,,Created_x0020_Date,zombie_candidate,info,unknown,zombie-candidate,Present in snapshot but no SSOT counterpart (coverage=full).,live-probe
